match_id,date_x,home_team,away_team,result,date_y,home_win_odds,draw_odds,away_win_odds,favorite
EPL2425_001,2024-08-12,Everton,Liverpool,1,2024-08-12,4.6,4.93,1.88,Liverpool
EPL2425_002,2024-08-11,West Ham,Newcastle,2,2024-08-11,3.09,5.36,2.26,Newcastle
EPL2425_003,2024-08-11,Chelsea,Brighton,2,2024-08-11,2.19,5.9,3.06,Brighton
EPL2425_004,2024-08-11,Burnley,Arsenal,0,2024-08-11,3.3,5.06,2.21,Arsenal
EPL2425_005,2024-08-10,Brentford,Fulham,2,2024-08-10,4.18,3.36,2.41,Fulham
EPL2425_006,2024-08-10,Nottingham Forest,Luton,0,2024-08-10,2.67,3.5,3.42,Luton
EPL2425_007,2024-08-10,Sheffield United,Man United,2,2024-08-10,3.21,3.92,2.59,Man United
EPL2425_008,2024-08-11,Wolves,Man City,0,2024-08-11,3.12,4.11,2.57,Man City
EPL2425_009,2024-08-10,Bournemouth,Tottenham,2,2024-08-10,2.06,4.5,4.07,Tottenham
EPL2425_010,2024-08-10,Crystal Palace,Aston Villa,1,2024-08-10,2.83,4.17,2.79,Aston Villa
EPL2425_011,2024-08-18,Brighton,West Ham,2,2024-08-18,4.44,4.03,2.09,West Ham
EPL2425_012,2024-08-19,Newcastle,Fulham,0,2024-08-19,3.03,4.31,2.56,Fulham
EPL2425_013,2024-08-18,Aston Villa,Man United,0,2024-08-18,2.88,5.12,2.44,Man United
EPL2425_014,2024-08-19,Bournemouth,Sheffield United,0,2024-08-19,2.66,4.03,3.04,Sheffield United
EPL2425_015,2024-08-19,Brentford,Tottenham,0,2024-08-19,3.37,5.2,2.16,Tottenham
EPL2425_016,2024-08-19,Luton,Arsenal,0,2024-08-19,2.99,3.58,2.95,Arsenal
EPL2425_017,2024-08-19,Man City,Burnley,0,2024-08-19,3.13,4.79,2.36,Burnley
EPL2425_018,2024-08-19,Wolves,Everton,1,2024-08-19,2.52,4.69,2.93,Everton
EPL2425_019,2024-08-18,Crystal Palace,Chelsea,2,2024-08-18,2.67,3.43,3.49,Chelsea
EPL2425_020,2024-08-17,Nottingham Forest,Liverpool,0,2024-08-17,3.71,3.03,2.83,Liverpool
EPL2425_021,2024-08-24,Fulham,Bournemouth,2,2024-08-24,2.61,3.34,3.71,Bournemouth
EPL2425_022,2024-08-25,Liverpool,Tottenham,1,2024-08-25,3.27,4.11,2.48,Tottenham
EPL2425_023,2024-08-24,Chelsea,West Ham,0,2024-08-24,3.79,3.62,2.43,West Ham
EPL2425_024,2024-08-24,Brentford,Everton,1,2024-08-24,2.98,3.97,2.74,Everton
EPL2425_025,2024-08-24,Man City,Luton,0,2024-08-24,2.98,4.02,2.72,Luton
EPL2425_026,2024-08-26,Sheffield United,Arsenal,1,2024-08-26,2.17,4.28,3.87,Arsenal
EPL2425_027,2024-08-25,Aston Villa,Crystal Palace,0,2024-08-25,3.04,3.46,2.98,Crystal Palace
