,match_id,date,home_team,away_team,result,draw_odds,home_win_odds
0,EPL2425_001,2024-08-10,Arsenal,Newcastle,0,4.93,4.6
1,EPL2425_002,2024-08-10,Aston Villa,Brighton,0,5.36,3.09
2,EPL2425_005,2024-08-10,Chelsea,Crystal Palace,0,3.36,4.18
3,EPL2425_006,2024-08-10,Everton,West Ham,1,3.5,2.67
4,EPL2425_007,2024-08-10,Liverpool,Brentford,0,3.92,3.21
5,EPL2425_009,2024-08-10,Man City,Nottingham Forest,0,4.5,2.06
6,EPL2425_010,2024-08-10,Tottenham,Fulham,0,4.17,2.83
7,EPL2425_012,2024-08-17,Brighton,Chelsea,0,4.31,3.03
8,EPL2425_013,2024-08-17,Crystal Palace,Burnley,1,5.12,2.88
9,EPL2425_015,2024-08-17,Man United,Aston Villa,1,5.2,3.37
10,EPL2425_016,2024-08-17,Newcastle,Everton,0,3.58,2.99
11,EPL2425_017,2024-08-17,Nottingham Forest,Bournemouth,1,4.79,3.13
12,EPL2425_019,2024-08-17,West Ham,Tottenham,1,3.43,2.67
13,EPL2425_020,2024-08-17,Wolves,Luton,0,3.03,3.71
14,EPL2425_021,2024-08-24,Arsenal,West Ham,0,3.34,2.61
15,EPL2425_022,2024-08-24,Aston Villa,Newcastle,1,4.11,3.27
16,EPL2425_023,2024-08-24,Bournemouth,Sheffield United,0,3.62,3.79
17,EPL2425_025,2024-08-24,Chelsea,Man United,1,4.02,2.98
18,EPL2425_026,2024-08-24,Everton,Crystal Palace,0,4.28,2.17
19,EPL2425_027,2024-08-24,Liverpool,Fulham,0,3.46,3.04
20,EPL2425_029,2024-08-24,Man City,Brighton,0,4.14,2.43
21,EPL2425_030,2024-08-24,Tottenham,Nottingham Forest,0,4.77,2.27
22,EPL2425_032,2024-08-31,Brighton,Liverpool,1,4.48,3.66
23,EPL2425_033,2024-08-31,Crystal Palace,Aston Villa,1,4.42,2.54
24,EPL2425_035,2024-08-31,Man United,Tottenham,0,6.79,2.29
25,EPL2425_036,2024-08-31,Newcastle,Bournemouth,0,4.21,2.16
26,EPL2425_039,2024-08-31,West Ham,Luton,0,5.55,2.97
27,EPL2425_040,2024-08-31,Wolves,Everton,1,3.98,4.63
28,EPL2425_041,2024-09-14,Arsenal,Man United,0,2.97,3.69
29,EPL2425_042,2024-09-14,Aston Villa,West Ham,0,4.15,2.18
30,EPL2425_043,2024-09-14,Bournemouth,Crystal Palace,1,5.59,3.06
31,EPL2425_045,2024-09-14,Chelsea,Sheffield United,0,3.73,3.09
32,EPL2425_046,2024-09-14,Everton,Nottingham Forest,1,3.07,3.26
33,EPL2425_047,2024-09-14,Liverpool,Wolves,0,4.16,2.15
34,EPL2425_049,2024-09-14,Man City,Tottenham,1,3.9,3.16
35,EPL2425_050,2024-09-14,Fulham,Brentford,0,3.45,3.29
36,EPL2425_051,2024-09-21,Brentford,Burnley,0,4.33,2.28
37,EPL2425_052,2024-09-21,Brighton,Aston Villa,1,4.12,2.53
38,EPL2425_054,2024-09-21,Man United,Luton,0,5.7,2.1
39,EPL2425_055,2024-09-21,Newcastle,Liverpool,1,3.46,3.17
40,EPL2425_058,2024-09-21,Tottenham,Everton,0,4.65,3.04
41,EPL2425_059,2024-09-21,West Ham,Bournemouth,0,3.45,2.86
42,EPL2425_060,2024-09-21,Wolves,Fulham,1,5.88,1.97
43,EPL2425_061,2024-09-28,Arsenal,Brighton,0,4.06,3.04
44,EPL2425_062,2024-09-28,Aston Villa,Sheffield United,0,4.1,3.01
45,EPL2425_064,2024-09-28,Burnley,West Ham,1,5.11,2.72
46,EPL2425_065,2024-09-28,Chelsea,Wolves,0,2.88,3.11
47,EPL2425_066,2024-09-28,Everton,Brentford,1,3.97,2.51
48,EPL2425_067,2024-09-28,Liverpool,Crystal Palace,0,5.53,4.4
49,EPL2425_069,2024-09-28,Man City,Newcastle,1,3.34,2.61
50,EPL2425_070,2024-09-28,Tottenham,Fulham,0,4.14,2.1
51,EPL2425_072,2024-10-05,Brighton,Burnley,0,3.65,3.22
52,EPL2425_073,2024-10-05,Crystal Palace,Arsenal,1,4.94,1.93
53,EPL2425_075,2024-10-05,Man United,Liverpool,1,4.14,3.46
54,EPL2425_076,2024-10-05,Newcastle,Chelsea,0,4.42,2.58
55,EPL2425_079,2024-10-05,West Ham,Bournemouth,0,4.59,3.93
56,EPL2425_080,2024-10-05,Wolves,Luton,1,4.88,2.31
57,EPL2425_081,2024-10-19,Arsenal,Man City,1,3.54,2.38
58,EPL2425_082,2024-10-19,Aston Villa,Man United,0,5.26,2.29
59,EPL2425_083,2024-10-19,Bournemouth,Nottingham Forest,1,3.42,2.94
60,EPL2425_085,2024-10-19,Chelsea,West Ham,0,4.9,3.12
61,EPL2425_086,2024-10-19,Everton,Brighton,1,3.37,3.79
62,EPL2425_087,2024-10-19,Liverpool,Sheffield United,0,5.72,4.08
63,EPL2425_089,2024-10-19,Tottenham,Newcastle,1,6.08,2.58
64,EPL2425_090,2024-10-19,Wolves,Brentford,0,4.31,4.44
65,EPL2425_092,2024-10-26,Brighton,Tottenham,1,4.31,2.07
66,EPL2425_093,2024-10-26,Crystal Palace,Everton,0,3.79,3.23
67,EPL2425_095,2024-10-26,Man United,Wolves,0,3.13,3.68
68,EPL2425_096,2024-10-26,Newcastle,Luton,1,4.97,2.8
69,EPL2425_099,2024-10-26,West Ham,Man City,1,5.61,1.91
70,EPL2425_100,2024-10-26,Bournemouth,Burnley,0,4.04,2.25
