match_id,date,home_win_odds,draw_odds,away_win_odds
EPL2425_001,2024-08-10,4.60,4.93,1.88
EPL2425_002,2024-08-10,3.09,5.36,2.26
EPL2425_003,2024-08-10,2.19,5.90,3.06
EPL2425_004,2024-08-10,3.30,5.06,2.21
EPL2425_005,2024-08-10,4.18,3.36,2.41
EPL2425_006,2024-08-10,2.67,3.50,3.42
EPL2425_007,2024-08-10,3.21,3.92,2.59
EPL2425_008,2024-08-10,3.12,4.11,2.57
EPL2425_009,2024-08-10,2.06,4.50,4.07
EPL2425_010,2024-08-10,2.83,4.17,2.79
EPL2425_011,2024-08-17,4.44,4.03,2.09
EPL2425_012,2024-08-17,3.03,4.31,2.56
EPL2425_013,2024-08-17,2.88,5.12,2.44
EPL2425_014,2024-08-17,2.66,4.03,3.04
EPL2425_015,2024-08-17,3.37,5.20,2.16
EPL2425_016,2024-08-17,2.99,3.58,2.95
EPL2425_017,2024-08-17,3.13,4.79,2.36
EPL2425_018,2024-08-17,2.52,4.69,2.93
EPL2425_019,2024-08-17,2.67,3.43,3.49
EPL2425_020,2024-08-17,3.71,3.03,2.83
EPL2425_021,2024-08-24,2.61,3.34,3.71
EPL2425_022,2024-08-24,3.27,4.11,2.48
EPL2425_023,2024-08-24,3.79,3.62,2.43
EPL2425_024,2024-08-24,2.98,3.97,2.74
EPL2425_025,2024-08-24,2.98,4.02,2.72
EPL2425_026,2024-08-24,2.17,4.28,3.87
EPL2425_027,2024-08-24,3.04,3.46,2.98
EPL2425_028,2024-08-24,2.41,4.18,3.35
EPL2425_029,2024-08-24,2.43,4.14,3.33
EPL2425_030,2024-08-24,2.27,4.77,3.32
EPL2425_031,2024-08-31,2.71,3.46,3.39
EPL2425_032,2024-08-31,3.66,4.48,2.19
EPL2425_033,2024-08-31,2.54,4.42,3.02
EPL2425_034,2024-08-31,3.04,2.85,3.66
EPL2425_035,2024-08-31,2.29,6.79,2.72
EPL2425_036,2024-08-31,2.16,4.21,3.97
EPL2425_037,2024-08-31,3.65,4.13,2.29
EPL2425_038,2024-08-31,2.52,4.41,3.04
EPL2425_039,2024-08-31,2.97,5.55,2.30
EPL2425_040,2024-08-31,4.63,3.98,2.06
EPL2425_041,2024-09-14,3.69,2.97,2.90
EPL2425_042,2024-09-14,2.18,4.15,3.96
EPL2425_043,2024-09-14,3.06,5.59,2.24
EPL2425_044,2024-09-14,2.61,3.92,3.18
EPL2425_045,2024-09-14,3.09,3.73,2.77
EPL2425_046,2024-09-14,3.26,3.07,3.12
EPL2425_047,2024-09-14,2.15,4.16,4.04
EPL2425_048,2024-09-14,2.38,4.06,3.49
EPL2425_049,2024-09-14,3.16,3.90,2.64
EPL2425_050,2024-09-14,3.29,3.45,2.79
EPL2425_051,2024-09-21,2.28,4.33,3.53
EPL2425_052,2024-09-21,2.53,4.12,3.17
EPL2425_053,2024-09-21,3.78,3.72,2.39
EPL2425_054,2024-09-21,2.10,5.70,3.31
EPL2425_055,2024-09-21,3.17,3.46,2.87
EPL2425_056,2024-09-21,3.23,4.94,2.27
EPL2425_057,2024-09-21,3.54,3.51,2.60
EPL2425_058,2024-09-21,3.04,4.65,2.45
EPL2425_059,2024-09-21,2.86,3.45,3.20
EPL2425_060,2024-09-21,1.97,5.88,3.65
EPL2425_061,2024-09-28,3.04,4.06,2.65
EPL2425_062,2024-09-28,3.01,4.10,2.66
EPL2425_063,2024-09-28,3.62,3.27,2.70
EPL2425_064,2024-09-28,2.72,5.11,2.57
EPL2425_065,2024-09-28,3.11,2.88,3.52
EPL2425_066,2024-09-28,2.51,3.97,3.32
EPL2425_067,2024-09-28,4.40,5.53,1.84
EPL2425_068,2024-09-28,2.88,3.42,3.20
EPL2425_069,2024-09-28,2.61,3.34,3.70
EPL2425_070,2024-09-28,2.10,4.14,4.28
EPL2425_071,2024-10-05,2.87,3.69,3.01
EPL2425_072,2024-10-05,3.22,3.65,2.72
EPL2425_073,2024-10-05,1.93,4.94,4.29
EPL2425_074,2024-10-05,3.43,4.00,2.43
EPL2425_075,2024-10-05,3.46,4.14,2.37
EPL2425_076,2024-10-05,2.58,4.42,2.95
EPL2425_077,2024-10-05,2.36,4.18,3.46
EPL2425_078,2024-10-05,2.46,4.84,2.95
EPL2425_079,2024-10-05,3.93,4.59,2.08
EPL2425_080,2024-10-05,2.31,4.88,3.18
EPL2425_081,2024-10-19,2.38,3.54,4.01
EPL2425_082,2024-10-19,2.29,5.26,3.08
EPL2425_083,2024-10-19,2.94,3.42,3.12
EPL2425_084,2024-10-19,3.30,6.06,2.07
EPL2425_085,2024-10-19,3.12,4.90,2.34
EPL2425_086,2024-10-19,3.79,3.37,2.55
EPL2425_087,2024-10-19,4.08,5.72,1.88
EPL2425_088,2024-10-19,2.80,3.34,3.38
EPL2425_089,2024-10-19,2.58,6.08,2.50
EPL2425_090,2024-10-19,4.44,4.31,2.02
EPL2425_091,2024-10-26,2.76,3.75,3.08
EPL2425_092,2024-10-26,2.07,4.31,4.24
EPL2425_093,2024-10-26,3.23,3.79,2.64
EPL2425_094,2024-10-26,2.42,3.80,3.62
EPL2425_095,2024-10-26,3.68,3.13,2.76
EPL2425_096,2024-10-26,2.80,4.97,2.53
EPL2425_097,2024-10-26,2.20,4.43,3.68
EPL2425_098,2024-10-26,3.38,3.81,2.54
EPL2425_099,2024-10-26,1.91,5.61,3.97
EPL2425_100,2024-10-26,2.25,4.04,3.85
EPL2425_101,2024-11-02,2.63,4.32,2.94
EPL2425_102,2024-11-02,3.00,3.85,2.78
EPL2425_103,2024-11-02,2.93,4.04,2.75
EPL2425_104,2024-11-02,3.37,5.03,2.19
EPL2425_105,2024-11-02,3.18,4.71,2.35
EPL2425_106,2024-11-02,4.05,3.64,2.32
EPL2425_107,2024-11-02,3.12,3.90,2.66
EPL2425_108,2024-11-02,3.39,3.47,2.71
EPL2425_109,2024-11-02,2.66,5.26,2.59
EPL2425_110,2024-11-02,2.80,3.73,3.05
EPL2425_111,2024-11-09,3.36,3.47,2.72
EPL2425_112,2024-11-09,2.40,4.26,3.32
EPL2425_113,2024-11-09,2.58,4.46,2.93
EPL2425_114,2024-11-09,3.15,3.85,2.70
EPL2425_115,2024-11-09,2.90,3.45,3.15
EPL2425_116,2024-11-09,2.45,3.90,3.25
EPL2425_117,2024-11-09,2.20,3.85,3.55
EPL2425_118,2024-11-09,4.20,3.75,1.95
EPL2425_119,2024-11-09,3.10,3.45,2.85
EPL2425_120,2024-11-09,2.75,3.35,3.30
EPL2425_121,2024-11-23,1.85,3.75,4.50
EPL2425_122,2024-11-23,2.10,3.45,3.95
EPL2425_123,2024-11-23,1.95,3.55,4.25
EPL2425_124,2024-11-23,2.45,3.35,3.25
EPL2425_125,2024-11-23,1.75,3.85,4.75
EPL2425_126,2024-11-23,2.85,3.45,2.95
EPL2425_127,2024-11-23,1.45,4.25,7.50
EPL2425_128,2024-11-23,2.15,3.45,3.75
EPL2425_129,2024-11-23,2.25,3.35,3.55
